id,carpeta,referencia,nombre,categoria,subcategoria,imagen_principal,n_imagenes,vista360,enlace
3370,"3370_MU-267__Botilito_en_Tritan_Swat_600ml_","MU-267","Botilito en Tritan Swat 600ml - Oferta","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Tritan y Policarbonato","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-267/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-en-Tritan-Swat-600ml/9559/347"
3371,"3371_MU-418__BOTILITO_PLASTICO_GRIPLY_RPET_","MU-418","BOTILITO PLASTICO GRIPLY RPET 700ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/MU-418/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-plastico-griply-rpet-700-ml/13244/346"
3372,"3372_MU-457__Botilito_Pl_stico_Fruit_600_ml","MU-457","Botilito Plástico, Fruit 600 ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/MU-457/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-plastico-fruit-600-ml/13575/346"
3373,"3373_MU-60__Botilito_Infussion_800ML","MU-60","Botilito Infussion 800ML","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Tritan y Policarbonato","principal.jpg",7,"https://catalogospromocionales.com/images/v360/MU-60/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-infussion-800ml/5762/347"
3374,"3374_VA-273__Mug_Oxford_Cer_mica_11oz","VA-273","Mug Oxford Cerámica 11oz","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Cerámica","principal.jpg",6,"https://catalogospromocionales.com/images/v360/VA-273/index.html?V=6","https://www.catalogospromocionales.com/p/mug-oxford-ceramica-11oz/3505/348"
3375,"3375_MU-105__Mug_Ceramica_Neon_11oz_Oferta","MU-105","Mug Ceramica Neon 11oz - Oferta","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Cerámica","principal.jpg",6,"https://catalogospromocionales.com/images/v360/MU-105/index.html?V=6","https://www.catalogospromocionales.com/p/mug-ceramica-neon-11oz/6821/348"
3376,"3376_MU-88__Mezclador_en_Acero_Inoxidable","MU-88","Mezclador en Acero Inoxidable","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Tritan y Policarbonato","principal.jpg",1,"https://catalogospromocionales.com/images/v360/MU-88/index.html?V=6","https://www.catalogospromocionales.com/p/Mezclador-en-Acero-Inoxidable/6701/347"
3377,"3377_MU-99__Botilito_en_Tritan_Bugsy_630ml","MU-99","Botilito en Tritan Bugsy 630ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Tritan y Policarbonato","principal.jpg",8,"https://catalogospromocionales.com/images/v360/MU-99/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-en-tritan-bugsy-630ml/6815/347"
3378,"3378_MU-05__Mug_Cer_mica_Sublimaci_n_Magic","MU-05","Mug Cerámica Sublimación Magic Color 11oz","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Cerámica","principal.jpg",7,"https://catalogospromocionales.com/images/v360/MU-05/index.html?V=6","https://www.catalogospromocionales.com/p/mug-ceramica-sublimacion-magic-color-11oz/4064/348"
3379,"3379_MU-03__Mug_Cer_mica_para_Sublimaci_n_","MU-03","Mug Cerámica para Sublimación I 11oz","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Cerámica","principal.jpg",9,"https://catalogospromocionales.com/images/v360/MU-03/index.html?V=6","https://www.catalogospromocionales.com/p/mug-ceramica-para-sublimacion-i-11oz/4065/348"
